guid,species,state_prov,county,parts,sex,dec_lat,dec_long,has_tissues
MVZ:Mamm:110588,Eptesicus fuscus,Baja California Sur,,"skin, study; skull",male,23.5475,-109.965,0
MVZ:Mamm:110591,Eptesicus fuscus,Baja California Sur,,"skin, study; skull",male,23.5475,-109.965,0
MVZ:Mamm:110824,Tadarida brasiliensis,Baja California Sur,,"skin, study; skull",female,23.5475,-109.965,0
MVZ:Mamm:110592,Eptesicus fuscus,Baja California Sur,,"skin, study; skull",male,23.5475,-109.965,0
MVZ:Mamm:71309,Myotis yumanensis,California,Yolo County,"skin, study",male,38.5487138,-121.7250593,0
MVZ:Mamm:71422,Myotis californicus,California,Yolo County,"skin, study; skull",female,38.5487138,-121.7250593,0
MVZ:Mamm:71310,Myotis yumanensis,California,Yolo County,"skin, study",male,38.5487138,-121.7250593,0
MVZ:Mamm:103042,Myotis californicus,California,San Mateo County,"skin, study; skull",male,37.258386,-122.340657,0
MVZ:Mamm:238821,Myotis californicus,California,San Bernardino County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,34.841438,-116.046625,1
MVZ:Mamm:71304,Myotis yumanensis,California,Lake County,"skin, study; skull",female,38.9170301,-122.6031495,0
MVZ:Mamm:86085,Lasiurus cinereus,California,San Diego County,"skin, study; skull",female,33.2901829,-117.2238576,0
MVZ:Mamm:71360,Myotis evotis,California,Contra Costa County,"skin, study; skull",female,37.9398965,-121.7502855,0
MVZ:Mamm:71311,Myotis yumanensis,California,Yolo County,"skin, study",male,38.5487138,-121.7250593,0
MVZ:Mamm:112604,Myotis ciliolabrum,Baja California,,"skin, study; skull",female,31.85,-116.1,0
MVZ:Mamm:112607,Myotis ciliolabrum,Baja California,,"skin, study; skull",male,31.85,-116.1,0
MVZ:Mamm:102730,Lasiurus frantzii,California,Fresno County,"skin, study; skull",male,36.6991,-120.4708,0
MVZ:Mamm:238621,Corynorhinus townsendii,California,San Benito County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",female,36.614525,-121.091475,1
MVZ:Mamm:238613,Antrozous pallidus,California,Imperial County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",,32.8491869,-115.7338502,1
MVZ:Mamm:77510,Lasiurus frantzii,California,San Mateo County,"skin, study; skull",female,37.295616,-122.233592,0
MVZ:Mamm:71303,Myotis yumanensis,California,Lake County,"skin, study; skull",female,39.1232828,-122.8435576,0
MVZ:Mamm:225369,Eptesicus fuscus,California,San Bernardino County,"whole organism (ethanol, 70%; formalin-fixed)",male,34.26698,-116.941811,0
MVZ:Mamm:238701,Eptesicus fuscus,California,Sutter County,"tissue (frozen); whole organism (ethanol, 70%; formalin-fixed)",male,39.1490115,-121.6749394,1
MVZ:Mamm:112510,Myotis californicus,Baja California,,"skin, study; skull",female,32.053333,-115.9072222,0
MVZ:Mamm:107957,Eptesicus fuscus,California,Monterey County,"skin, study; skull",male,36.020166,-120.90328,0
MVZ:Mamm:24190,Myotis californicus,California,El Dorado County,"skin, study; skull",male,38.7505245,-120.6217628,0
MVZ:Mamm:125086,Eptesicus fuscus,California,Siskiyou County,"skin, study; skull",female,41.9318434,-123.5434292,0
MVZ:Mamm:103000,Myotis californicus,California,Monterey County,"skin, study; skull",male,36.153171,-121.665576,0
MVZ:Mamm:181631,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:167405,Macrotus californicus,California,Imperial County,"skin, study; skull",male,32.8978,-114.7915,0
MVZ:Mamm:181626,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:181628,Antrozous pallidus,California,Riverside County,whole organism (ethanol),unknown,33.9198647,-116.7611758,0
MVZ:Mamm:19281,Antrozous pallidus,California,Los Angeles County,whole organism (ethanol),unknown,34.163126,-118.0502877,0
MVZ:Mamm:71340,Myotis yumanensis,California,San Diego County,"skin, study; skull",female,33.064,-117.1289,0
MVZ:Mamm:71338,Myotis yumanensis,California,San Diego County,"skin, study; skull",female,33.064,-117.1289,0
