specimen_count,species,county
92,Antrozous pallidus,Alameda County
1,Antrozous pallidus,Amador County
1,Antrozous pallidus,Butte County
2,Antrozous pallidus,Calaveras County
1,Antrozous pallidus,Colusa County
41,Antrozous pallidus,Contra Costa County
1,Antrozous pallidus,Fresno County
3,Antrozous pallidus,Humboldt County
5,Antrozous pallidus,Imperial County
11,Antrozous pallidus,Inyo County
17,Antrozous pallidus,Kern County
2,Antrozous pallidus,Lake County
33,Antrozous pallidus,Los Angeles County
4,Antrozous pallidus,Madera County
13,Antrozous pallidus,Marin County
1,Antrozous pallidus,Mariposa County
2,Antrozous pallidus,Mendocino County
20,Antrozous pallidus,Merced County
3,Antrozous pallidus,Modoc County
25,Antrozous pallidus,Monterey County
110,Antrozous pallidus,Napa County
1,Antrozous pallidus,Placer County
1,Antrozous pallidus,Plumas County
14,Antrozous pallidus,Riverside County
1,Antrozous pallidus,Sacramento County
3,Antrozous pallidus,San Benito County
15,Antrozous pallidus,San Bernardino County
41,Antrozous pallidus,San Diego County
1,Antrozous pallidus,San Joaquin County
16,Antrozous pallidus,San Luis Obispo County
19,Antrozous pallidus,San Mateo County
20,Antrozous pallidus,Santa Barbara County
12,Antrozous pallidus,Santa Clara County
2,Antrozous pallidus,Santa Cruz County
1,Antrozous pallidus,Siskiyou County
4,Antrozous pallidus,Sonoma County
3,Antrozous pallidus,Tehama County
3,Antrozous pallidus,Trinity County
12,Antrozous pallidus,Tulare County
1,Antrozous pallidus,Tuolumne County
3,Antrozous pallidus,Ventura County
2,Antrozous pallidus,Yolo County
40,Antrozous pallidus,
1,Choeronycteris mexicana,Orange County
3,Choeronycteris mexicana,San Diego County
25,Choeronycteris mexicana,
35,Corynorhinus townsendii,Alameda County
1,Corynorhinus townsendii,Butte County
1,Corynorhinus townsendii,Calaveras County
8,Corynorhinus townsendii,Colusa County
2,Corynorhinus townsendii,Del Norte County
3,Corynorhinus townsendii,El Dorado County
6,Corynorhinus townsendii,Humboldt County
3,Corynorhinus townsendii,Imperial County
10,Corynorhinus townsendii,Inyo County
6,Corynorhinus townsendii,Kern County
31,Corynorhinus townsendii,Lake County
14,Corynorhinus townsendii,Lassen County
1,Corynorhinus townsendii,Los Angeles County
60,Corynorhinus townsendii,Marin County
3,Corynorhinus townsendii,Mariposa County
9,Corynorhinus townsendii,Mendocino County
24,Corynorhinus townsendii,Monterey County
81,Corynorhinus townsendii,Napa County
17,Corynorhinus townsendii,Placer County
46,Corynorhinus townsendii,Riverside County
5,Corynorhinus townsendii,San Benito County
13,Corynorhinus townsendii,San Bernardino County
52,Corynorhinus townsendii,San Diego County
2,Corynorhinus townsendii,San Joaquin County
6,Corynorhinus townsendii,San Luis Obispo County
2,Corynorhinus townsendii,San Mateo County
23,Corynorhinus townsendii,Santa Barbara County
7,Corynorhinus townsendii,Santa Clara County
5,Corynorhinus townsendii,Santa Cruz County
4,Corynorhinus townsendii,Shasta County
20,Corynorhinus townsendii,Siskiyou County
6,Corynorhinus townsendii,Sonoma County
1,Corynorhinus townsendii,Stanislaus County
2,Corynorhinus townsendii,Tehama County
1,Corynorhinus townsendii,Tulare County
6,Corynorhinus townsendii,Tuolumne County
5,Corynorhinus townsendii,Yolo County
122,Corynorhinus townsendii,
10,Eptesicus fuscus,Alameda County
2,Eptesicus fuscus,Alpine County
1,Eptesicus fuscus,Amador County
14,Eptesicus fuscus,Butte County
5,Eptesicus fuscus,Calaveras County
5,Eptesicus fuscus,Colusa County
12,Eptesicus fuscus,Contra Costa County
7,Eptesicus fuscus,Del Norte County
42,Eptesicus fuscus,El Dorado County
12,Eptesicus fuscus,Fresno County
4,Eptesicus fuscus,Glenn County
32,Eptesicus fuscus,Humboldt County
60,Eptesicus fuscus,Imperial County
13,Eptesicus fuscus,Inyo County
17,Eptesicus fuscus,Kern County
23,Eptesicus fuscus,Lake County
5,Eptesicus fuscus,Lassen County
27,Eptesicus fuscus,Los Angeles County
2,Eptesicus fuscus,Madera County
4,Eptesicus fuscus,Marin County
25,Eptesicus fuscus,Mariposa County
5,Eptesicus fuscus,Mendocino County
9,Eptesicus fuscus,Merced County
1,Eptesicus fuscus,Modoc County
2,Eptesicus fuscus,Mono County
39,Eptesicus fuscus,Monterey County
25,Eptesicus fuscus,Napa County
8,Eptesicus fuscus,Nevada County
1,Eptesicus fuscus,Orange County
8,Eptesicus fuscus,Placer County
2,Eptesicus fuscus,Plumas County
40,Eptesicus fuscus,Riverside County
14,Eptesicus fuscus,San Benito County
92,Eptesicus fuscus,San Bernardino County
70,Eptesicus fuscus,San Diego County
1,Eptesicus fuscus,San Joaquin County
33,Eptesicus fuscus,San Luis Obispo County
5,Eptesicus fuscus,San Mateo County
1,Eptesicus fuscus,Santa Barbara County
2,Eptesicus fuscus,Santa Clara County
25,Eptesicus fuscus,Santa Cruz County
11,Eptesicus fuscus,Shasta County
