specimen_count,species,county
1,Antrozous pallidus,Alameda County
1,Antrozous pallidus,Calaveras County
1,Antrozous pallidus,Colusa County
2,Antrozous pallidus,Contra Costa County
1,Antrozous pallidus,Humboldt County
2,Antrozous pallidus,Imperial County
1,Antrozous pallidus,Inyo County
6,Antrozous pallidus,Los Angeles County
5,Antrozous pallidus,Marin County
4,Antrozous pallidus,Napa County
1,Antrozous pallidus,Placer County
6,Antrozous pallidus,Riverside County
1,Antrozous pallidus,San Benito County
5,Antrozous pallidus,San Bernardino County
6,Antrozous pallidus,San Luis Obispo County
3,Antrozous pallidus,Sonoma County
2,Antrozous pallidus,Trinity County
1,Corynorhinus townsendii,El Dorado County
29,Corynorhinus townsendii,Marin County
2,Corynorhinus townsendii,Riverside County
3,Corynorhinus townsendii,San Benito County
5,Corynorhinus townsendii,San Bernardino County
1,Corynorhinus townsendii,San Mateo County
2,Corynorhinus townsendii,Siskiyou County
1,Corynorhinus townsendii,Tuolumne County
1,Eptesicus fuscus,Alameda County
1,Eptesicus fuscus,Amador County
10,Eptesicus fuscus,Butte County
1,Eptesicus fuscus,Calaveras County
2,Eptesicus fuscus,Colusa County
4,Eptesicus fuscus,El Dorado County
2,Eptesicus fuscus,Glenn County
2,Eptesicus fuscus,Humboldt County
33,Eptesicus fuscus,Imperial County
1,Eptesicus fuscus,Lake County
11,Eptesicus fuscus,Los Angeles County
2,Eptesicus fuscus,Marin County
1,Eptesicus fuscus,Nevada County
2,Eptesicus fuscus,Placer County
27,Eptesicus fuscus,Riverside County
41,Eptesicus fuscus,San Bernardino County
27,Eptesicus fuscus,San Diego County
1,Eptesicus fuscus,San Joaquin County
3,Eptesicus fuscus,San Luis Obispo County
2,Eptesicus fuscus,Santa Cruz County
1,Eptesicus fuscus,Shasta County
1,Eptesicus fuscus,Siskiyou County
1,Eptesicus fuscus,Solano County
1,Eptesicus fuscus,Sonoma County
3,Eptesicus fuscus,Sutter County
2,Eptesicus fuscus,Trinity County
3,Eptesicus fuscus,Tuolumne County
3,Eptesicus fuscus,Ventura County
2,Eptesicus fuscus,Yuba County
1,Eumops perotis,Kern County
4,Eumops perotis,Los Angeles County
2,Eumops perotis,Riverside County
2,Lasionycteris noctivagans,Butte County
5,Lasionycteris noctivagans,El Dorado County
1,Lasionycteris noctivagans,Glenn County
1,Lasionycteris noctivagans,Humboldt County
1,Lasionycteris noctivagans,Modoc County
4,Lasionycteris noctivagans,Nevada County
1,Lasionycteris noctivagans,Shasta County
1,Lasionycteris noctivagans,Sonoma County
1,Lasionycteris noctivagans,Sutter County
1,Lasionycteris noctivagans,Trinity County
1,Lasiurus cinereus,Alameda County
1,Lasiurus cinereus,Amador County
2,Lasiurus cinereus,Contra Costa County
4,Lasiurus cinereus,Imperial County
1,Lasiurus cinereus,Los Angeles County
3,Lasiurus cinereus,Monterey County
3,Lasiurus cinereus,Riverside County
5,Lasiurus cinereus,San Bernardino County
9,Lasiurus cinereus,San Diego County
1,Lasiurus cinereus,San Francisco County
1,Lasiurus cinereus,Santa Cruz County
1,Lasiurus cinereus,Sutter County
1,Lasiurus cinereus,Tehama County
4,Lasiurus frantzii,Alameda County
8,Lasiurus frantzii,Contra Costa County
1,Lasiurus frantzii,El Dorado County
2,Lasiurus frantzii,Los Angeles County
1,Lasiurus frantzii,Marin County
4,Lasiurus frantzii,Placer County
4,Lasiurus frantzii,Riverside County
2,Lasiurus frantzii,San Bernardino County
4,Lasiurus frantzii,San Diego County
2,Lasiurus frantzii,San Joaquin County
2,Lasiurus frantzii,Santa Cruz County
2,Lasiurus frantzii,Sutter County
2,Lasiurus frantzii,Yolo County
8,Lasiurus xanthinus,Imperial County
1,Lasiurus xanthinus,Los Angeles County
17,Lasiurus xanthinus,Riverside County
10,Lasiurus xanthinus,San Bernardino County
5,Lasiurus xanthinus,San Diego County
1,Macrotus californicus,Imperial County
2,Macrotus californicus,Riverside County
13,Myotis californicus,Alameda County
3,Myotis californicus,Amador County
10,Myotis californicus,Butte County
1,Myotis californicus,Calaveras County
7,Myotis californicus,Contra Costa County
6,Myotis californicus,El Dorado County
1,Myotis californicus,Glenn County
1,Myotis californicus,Humboldt County
2,Myotis californicus,Imperial County
2,Myotis californicus,Lassen County
3,Myotis californicus,Los Angeles County
7,Myotis californicus,Marin County
2,Myotis californicus,Mariposa County
4,Myotis californicus,Mendocino County
1,Myotis californicus,Monterey County
3,Myotis californicus,Napa County
2,Myotis californicus,Placer County
10,Myotis californicus,Riverside County
122,Myotis californicus,San Bernardino County
3,Myotis californicus,San Diego County
1,Myotis californicus,San Mateo County
14,Myotis californicus,Santa Cruz County
1,Myotis californicus,Shasta County
1,Myotis californicus,Solano County
3,Myotis californicus,Sutter County
3,Myotis californicus,Trinity County
5,Myotis californicus,Tuolumne County
1,Myotis californicus,Ventura County
1,Myotis californicus,Yuba County
1,Myotis ciliolabrum,Alameda County
2,Myotis ciliolabrum,Butte County
1,Myotis ciliolabrum,Contra Costa County
1,Myotis ciliolabrum,El Dorado County
1,Myotis ciliolabrum,Imperial County
1,Myotis ciliolabrum,Los Angeles County
2,Myotis ciliolabrum,Nevada County
2,Myotis ciliolabrum,Placer County
4,Myotis ciliolabrum,Riverside County
19,Myotis ciliolabrum,San Bernardino County
1,Myotis ciliolabrum,Shasta County
1,Myotis ciliolabrum,Siskiyou County
1,Myotis ciliolabrum,Tuolumne County
1,Myotis evotis,Calaveras County
1,Myotis evotis,El Dorado County
4,Myotis evotis,Humboldt County
1,Myotis evotis,Inyo County
2,Myotis evotis,Lassen County
1,Myotis evotis,Los Angeles County
1,Myotis evotis,Modoc County
1,Myotis evotis,Napa County
1,Myotis evotis,Nevada County
1,Myotis evotis,Riverside County
1,Myotis evotis,San Benito County
24,Myotis evotis,San Bernardino County
3,Myotis evotis,San Diego County
3,Myotis evotis,Santa Cruz County
1,Myotis evotis,Shasta County
1,Myotis evotis,Siskiyou County
1,Myotis evotis,Sonoma County
1,Myotis evotis,Tehama County
2,Myotis evotis,Trinity County
1,Myotis evotis,Tuolumne County
2,Myotis evotis,Ventura County
2,Myotis lucifugus,Butte County
2,Myotis lucifugus,El Dorado County
2,Myotis lucifugus,Humboldt County
1,Myotis lucifugus,Lake County
1,Myotis lucifugus,Placer County
2,Myotis lucifugus,Riverside County
9,Myotis lucifugus,San Bernardino County
1,Myotis lucifugus,Shasta County
1,Myotis thysanodes,Calaveras County
2,Myotis thysanodes,El Dorado County
1,Myotis thysanodes,Lassen County
1,Myotis thysanodes,Marin County
3,Myotis thysanodes,Santa Cruz County
1,Myotis volans,Butte County
1,Myotis volans,Lassen County
2,Myotis volans,San Bernardino County
1,Myotis volans,Siskiyou County
1,Myotis volans,Trinity County
7,Myotis yumanensis,Alameda County
6,Myotis yumanensis,Butte County
1,Myotis yumanensis,Calaveras County
2,Myotis yumanensis,Colusa County
2,Myotis yumanensis,El Dorado County
11,Myotis yumanensis,Glenn County
1,Myotis yumanensis,Humboldt County
2,Myotis yumanensis,Imperial County
3,Myotis yumanensis,Inyo County
1,Myotis yumanensis,Lake County
17,Myotis yumanensis,Los Angeles County
8,Myotis yumanensis,Marin County
1,Myotis yumanensis,Nevada County
2,Myotis yumanensis,Placer County
53,Myotis yumanensis,Riverside County
70,Myotis yumanensis,San Bernardino County
24,Myotis yumanensis,San Diego County
1,Myotis yumanensis,San Francisco County
2,Myotis yumanensis,San Joaquin County
1,Myotis yumanensis,Santa Clara County
2,Myotis yumanensis,Santa Cruz County
1,Myotis yumanensis,Siskiyou County
2,Myotis yumanensis,Solano County
2,Myotis yumanensis,Stanislaus County
6,Myotis yumanensis,Sutter County
4,Myotis yumanensis,Ventura County
1,Nyctinomops femorosaccus,Los Angeles County
2,Nyctinomops femorosaccus,Riverside County
2,Nyctinomops femorosaccus,San Bernardino County
1,Nyctinomops femorosaccus,San Diego County
3,Parastrellus hesperus,Imperial County
2,Parastrellus hesperus,Riverside County
7,Parastrellus hesperus,San Bernardino County
2,Parastrellus hesperus,San Diego County
1,Parastrellus hesperus,Shasta County
20,Tadarida brasiliensis,Alameda County
1,Tadarida brasiliensis,Amador County
19,Tadarida brasiliensis,Butte County
1,Tadarida brasiliensis,Calaveras County
4,Tadarida brasiliensis,Colusa County
4,Tadarida brasiliensis,Contra Costa County
3,Tadarida brasiliensis,El Dorado County
21,Tadarida brasiliensis,Glenn County
3,Tadarida brasiliensis,Humboldt County
2,Tadarida brasiliensis,Imperial County
1,Tadarida brasiliensis,Inyo County
13,Tadarida brasiliensis,Los Angeles County
18,Tadarida brasiliensis,Marin County
1,Tadarida brasiliensis,Mendocino County
3,Tadarida brasiliensis,Monterey County
3,Tadarida brasiliensis,Napa County
1,Tadarida brasiliensis,Nevada County
8,Tadarida brasiliensis,Placer County
29,Tadarida brasiliensis,Riverside County
14,Tadarida brasiliensis,San Bernardino County
33,Tadarida brasiliensis,San Diego County
12,Tadarida brasiliensis,San Francisco County
12,Tadarida brasiliensis,San Joaquin County
1,Tadarida brasiliensis,Santa Cruz County
2,Tadarida brasiliensis,Shasta County
5,Tadarida brasiliensis,Solano County
1,Tadarida brasiliensis,Sonoma County
14,Tadarida brasiliensis,Sutter County
2,Tadarida brasiliensis,Ventura County
14,Tadarida brasiliensis,Yolo County
10,Tadarida brasiliensis,Yuba County
