guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:20607,Sorex trowbridgii montereyensis,20607,Alfred C. Shelton,California,Marin County,3 mi W Inverness,Alfred C. Shelton 68,1998-06-08,whole organism (ethanol),unknown,38.1010747,-122.9111073,5283,117,48,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:58856,Sorex trowbridgii humboldtensis,58856,Raymond M. Gilmore,California,Humboldt County,Coyote Peak,Raymond M. Gilmore 2803,1933-06-14,"skin, study; skull",male,41.1335554,-123.8584651,2540,122,55,14,5,,4.7,mm,mm,mm,mm,,g,,
MVZ:Mamm:105909,Sorex trowbridgii mariposae,105909,Ward C. Russell,Nevada,Douglas County,"0.5 mi E Zephyr Cove, Lake Tahoe",Ward C. Russell 10031,1946-08-25,"skin, study; skull",female,39.00222,-119.94571,1957,124,50,13,8,,,mm,mm,mm,mm,,,,
MVZ:Mamm:178069,Sorex trowbridgii humboldtensis,178069,Martin G. Raphael,California,Humboldt County,"Six Rivers National Forest, Cedar Creek, 1.6 km N, 8 km E Willow Creek",Martin G. Raphael 576,1982-12-09,skull,unknown,40.95407,-123.53289,7897,105,48,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:178066,Sorex trowbridgii humboldtensis,178066,Martin G. Raphael,California,Humboldt County,"Six Rivers National Forest, Cedar Creek, 1.6 km N, 8 km E Willow Creek",Martin G. Raphael 573,1982-12-09,skull,unknown,40.95407,-123.53289,7897,111,49,15,,,,mm,mm,mm,,,,,
MVZ:Mamm:218547,Sorex trowbridgii mariposae,218547,Christopher J. Conroy,California,Shasta County,"Kings Creek Falls, Lassen Volcanic National Park",Christopher J. Conroy 2062,2006-09-07,"skin, study; skull; tissue (frozen)",unknown,40.45971,-121.44478,30,107,49,11,8,,4,mm,mm,mm,mm,,g,,
MVZ:Mamm:178536,Sorex trowbridgii humboldtensis,178536,Martin G. Raphael,California,Trinity County,"Six Rivers National Forest, Sharber, 1.6 km S, 8 km E Willow Creek",Martin G. Raphael 1540,1983-05-31,skull,female,40.9250702,-123.555483,5983,109,48,13,5,,,mm,mm,mm,mm,,,,
MVZ:Mamm:112992,Sorex trowbridgii humboldtensis,112992,Howard L. Cogswell,California,Humboldt County,French Camp,Howard L. Cogswell 39,1949-08-20,"skin, study; skull",female,41.1515112,-123.8193291,195,106,51,13,9,,4.4,mm,mm,mm,mm,,g,,
MVZ:Mamm:94041,Sorex trowbridgii trowbridgii,94041,John E. Chattin,Oregon,Clatsop County,Old Fort Clatsop,John E. Chattin 780,1940-08-21,"skin, study; skull",male ?,46.1339,-123.8761,13,116,59,13,7,,4.6,mm,mm,mm,mm,,g,,
MVZ:Mamm:200073,Sorex trowbridgii montereyensis,200073,Steve Lew,California,Monterey County,"Whale Point Trail near confluence of Big Creek and Devil's Creek, UCNRS Big Creek Reserve",,2002-10-31,whole organism (ethanol),unknown,36.0766666667,-121.595,139,,,,,,,,,,,,,,
MVZ:Mamm:19603,Sorex trowbridgii montereyensis,19603,Alfred C. Shelton,California,Marin County,3 mi W Inverness,Alfred C. Shelton 31,1913-05-31,"skin, study; skull",female,38.1010747,-122.9111073,5283,117,49,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:196602,Sorex trowbridgii mariposae,196602,James L. Patton,California,Shasta County,"Trapsite R-2, Lassen Volcanic National Park",James L. Patton 18097,2000-09-17,"DNA; skeleton; tissue (ethanol, 95%)",female,40.5205994,-121.474732,312,,,,,,,,,,,,,,
MVZ:Mamm:178120,Sorex trowbridgii humboldtensis,178120,Martin G. Raphael,California,Humboldt County,"Six Rivers National Forest, Ammon Creek, 6.9 km S Salyer",Martin G. Raphael 952,1982-05-24,skull,unknown,40.82896,-123.58348,3536,98,44,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:200072,Sorex trowbridgii montereyensis,200072,Steve Lew,California,Monterey County,"Whale Point Trail near confluence of Big Creek and Devil's Creek, UCNRS Big Creek Reserve",,2002-10-31,whole organism (ethanol),unknown,36.0766666667,-121.595,139,,,,,,,,,,,,,,
MVZ:Mamm:218831,Sorex trowbridgii mariposae,218831,John O. Matson,California,Modoc County,"US Forest Service Rd 42N09 at Shields Creek, Warner Mts.",John O. Matson 7134,2005-09-17,"carcass (ethanol); skin, study; skull; tissue (ethanol, 95%)",male,41.425239,-120.317548,372,119,52,13,3,,4.5,mm,mm,mm,mm,,g,t=1mm,
MVZ:Mamm:196607,Sorex trowbridgii mariposae,196607,James L. Patton,California,Tehama County,"Trapsite R-1, Lassen Volcanic National Park",James L. Patton 18090,2000-10-02,"DNA; skeleton; tissue (ethanol, 95%)",female,40.4322209,-121.5330702,312,,,,,,,,,,,,,,
MVZ:Mamm:223111,Sorex trowbridgii mariposae,223111,"Ilona Lunenburg, Larry Saslaw",California,Tulare County,Case Mountain,156,2003-07-16,skeleton (postcranial); skull; tissue (frozen),female,36.412731,-118.802821,2478,101,47,14,7,,4.6,mm,mm,mm,mm,,g,,
MVZ:Mamm:96206,Sorex trowbridgii montereyensis,96206,Seth B. Benson,California,Marin County,2 mi WNW Inverness,Seth B. Benson 7781,1941-07-14,"skin, study; skull",female,38.1078446,-122.891698,2741,112,55,14,9,4,6.4,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:208883,Sorex trowbridgii mariposae,208883,James L. Patton,California,Shasta County,"Trapsite F-1, Lassen Volcanic National Park",James L. Patton 21857,2004-07-09,"skeleton; skull; tissue (ethanol, 95%)",female,40.5098261,-121.4571229,312,107,51,13,7,,3.8,mm,mm,mm,mm,,g,,
MVZ:Mamm:217621,Sorex trowbridgii mariposae,217621,Jeff T. Wilcox,California,Lassen County,"Blacks Mountain Experimental Forest, Lassen National Forest",Jeff T. Wilcox 1464,2004-09-22,skeleton (postcranial); skull; tissue (frozen),female,40.75893822,-121.1290742,32,114,51,14,4,,4,mm,mm,mm,mm,,g,,
MVZ:Mamm:217619,Sorex trowbridgii mariposae,217619,Jeff T. Wilcox,California,Lassen County,"Blacks Mountain Experimental Forest, Lassen National Forest",Jeff T. Wilcox 1380,2004-10-28,skeleton (postcranial); skull; tissue (frozen),male,40.71407799,-121.1542084,32,106,45,12,7,,4,mm,mm,mm,mm,,g,,
MVZ:Mamm:86835,Sorex trowbridgii montereyensis,86835,"Donald F. Hoffmeister, Ronald W. Smith",California,Mendocino County,5 mi NW Yorkville,83,1939-05-08,"skin, study; skull",male,38.9610275,-123.2707206,1609,98,47,14,6,,,mm,mm,mm,mm,,,,
MVZ:Mamm:126280,Sorex trowbridgii trowbridgii,126280,Alan C. Ziegler,Washington,Pierce County,1.5 mi NW Spanaway,Alan C. Ziegler 1892,1960-06-22,"skin, study; skull",male,47.119553963,-122.45578701,5903,121,54,13,9,,5.9,mm,mm,mm,mm,,g,"testes 1x2 mm, EPIO - ?",
MVZ:Mamm:206319,Sorex trowbridgii mariposae,206319,,California,Tehama County,"Trapsite S-1, Lassen Volcanic National Park",,2003-08-22,skeleton; tissue (frozen),female,40.4459632,-121.5279982,312,,,,,,,,,,,,,,
MVZ:Mamm:221744,Sorex trowbridgii mariposae,221744,"Christopher J. Conroy, Madeline S. Tiee",California,Placer County,"2.2 km S, 0.5 km E Dutch Flat",2510,2008-06-10,DNA (frozen); skull; tissue (frozen); whole organism (ethanol),female,39.18656,-120.83194,92,116,50,12,7,5.2,5.2,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:177363,Sorex trowbridgii montereyensis,177363,David O. Ribble,California,Monterey County,"Robertson Creek, Hastings Natural History Reservation",David O. Ribble 759,1987-03-28,"skin, study; skull",female,36.37618496,-121.5484028,27,107,47.5,14,9,,7,mm,mm,mm,mm,,g,"lactating, 2L, 2R embryos, crown-rump = 4mm",
MVZ:Mamm:177364,Sorex trowbridgii montereyensis,177364,David O. Ribble,California,Monterey County,"Robertson Creek, Hastings Natural History Reservation",David O. Ribble 760,1987-03-28,skeleton; skull,male,36.37618496,-121.5484028,27,,,,,,,,,,,,,,
