guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:143397,Sorex vagrans vagrans,143397,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 841,1972-03-14,"skin, study; skull",male,49.1167,-122.75,3666,104,42,12,8,3,5.3,mm,mm,mm,mm,mm,g,testes: 4 x 5 mm,
MVZ:Mamm:143391,Sorex vagrans vagrans,143391,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 835,1972-03-14,"skin, study; skull",male,49.1167,-122.75,3666,97,41,13,8,3,5.1,mm,mm,mm,mm,mm,g,testes: 3 x 5 mm,
MVZ:Mamm:142717,Sorex vagrans vagrans,142717,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1916,1972-10-10,"skin, study; skull",female,49.0833,-123.0833,4149,113,47,13,7,3,4.6,mm,mm,mm,mm,mm,g,ut. lg.,molting
MVZ:Mamm:23648,Sorex vagrans vagrans,23648,Stanley G. Jewett,Oregon,Multnomah County,"Westmoreland Addition, Portland",Stanley G. Jewett 598,1915-12-06,"skin, study; skull",unknown,45.4764,-122.6458,1622,98,44,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:142630,Sorex vagrans vagrans,142630,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1654,1972-08-15,"skin, study; skull",female,49.0833,-123.0833,4149,111,45,13,8,3,4.8,mm,mm,mm,mm,mm,g,"lact. heavily, ut. small",
MVZ:Mamm:183424,Sorex vagrans halicoetes,183424,Robert L. Rudd,California,Contra Costa County,San Pablo Marsh,Robert L. Rudd 1843,1952-04-25,"skin, study; skull",male,37.9745281,-122.3765387,1661,108,39,13,7,,4.3,mm,mm,mm,mm,,g,"testes 1.5 mm, better developed than one would suspect, est age: 4-4.5 weeks",
MVZ:Mamm:89398,Sorex vagrans paludivagus,89398,Frank N. Bassett,California,San Francisco County,San Francisco,,1929-03-06,"skin, study; skull",female,37.757094,-122.447744,6581,106,48,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:3630,Sorex vagrans halicoetes,3630,Joseph Scattergood Dixon,California,Alameda County,Elmhurst,Joseph Scattergood Dixon 204,1908-04-01,"skin, study; skull",female,37.7424,-122.16165,3270,109,41,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:219769,Sorex vagrans vagrans,219769,"Rika DeVore, Ashley N. Lipps, Christopher J. Conroy",California,Tehama County,Battle Creek Meadows,239,2007-07-13,"skin, study; skull; tissue (frozen)",unknown,40.33926,-121.60819,7,104,46,13,8,,4.2,mm,mm,mm,mm,,g,,
MVZ:Mamm:230739,Sorex vagrans vagrans,230739,James L. Patton,California,Mono County,0.4 mi NW Benton Crossing,James L. Patton 26301,2014-05-02,"DNA (frozen); skin, study; skull; tissue (ethanol)",female,37.70205,-118.76654,4,98,41,13,6,,6.8,mm,mm,mm,mm,,g,post lactating,
MVZ:Mamm:3629,Sorex vagrans halicoetes,3629,Joseph Scattergood Dixon,California,Alameda County,Elmhurst,Joseph Scattergood Dixon 202,1908-04-01,"skin, study; skull",female,37.7424,-122.16165,3270,100,40,12,,,,mm,mm,mm,,,,,
