catalognumberint,guid,subspecies,collectors,state_prov,county,spec_locality,collectornumber,verbatim_date,parts,sex,total,tail,hf,ear,Notch,Crown,unit,weight,units,reproductive data,testes L,testes W,emb count,embs L,embs R,emb CR,scars,unformatted measurements,"tag checked? (or no tag available), initial here",Day,Month,Year,REVIEW NEEDED
17933,MVZ:Mamm:17933,Peromyscus boylii boylii,Walter P. Taylor,California,Amador County,Carbondale,Walter P. Taylor 5370,20 Mar 1912,"skin, study; skull",male,196,93,22,18.5,,,,not recorded,,Testes large,,,,,,,,,MS,1,July,2024,
17934,MVZ:Mamm:17934,Peromyscus boylii boylii,Walter P. Taylor,California,Amador County,Carbondale,Walter P. Taylor 5389,21 Mar 1912,"skin, study; skull",male,185,98,23,21,,,,not recorded,,Testes large,,,,,,,,,MS,1,July,2024,
17946,MVZ:Mamm:17946,Peromyscus boylii boylii,Walter P. Taylor,California,Butte County,"Butte Creek, 4 mi SE Chico",Walter P. Taylor 5725,1 Jun 1912,"skin, study; skull",male,205,106,22,18,,,,not recorded,,Testes large,,,,,,,,,MS,1,July,2024,
17947,MVZ:Mamm:17947,Peromyscus boylii boylii,"Tracy I. Storer, Walter P. Taylor",California,Butte County,"Butte Creek, 4 mi SE Chico",673-B,2 Jun 1912,"skin, study; skull",male,173,83,23,18,,,,,,,,,,,,,,,,,,,
17935,MVZ:Mamm:17935,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 617,26 May 1912,"skin, study; skull",male,188,93,22,15,,,,,,Testes large,,,,,,,,,MS,1,July,2024,
17936,MVZ:Mamm:17936,Peromyscus boylii boylii,Walter P. Taylor,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Walter P. Taylor 5663,26 May 1912,"skin, study; skull",female,197,103,21,,,,,,,ad.,,,,,,,,,MS,1,July,2024,
17937,MVZ:Mamm:17937,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 627,27 May 1912,"skin, study; skull",male,192,93,22,16,,,,,,testes large,,,,,,,,,MS,1,July,2024,
17938,MVZ:Mamm:17938,Peromyscus boylii boylii,"Tracy I. Storer, Walter P. Taylor",California,Butte County,"Chambers Ravine, 4 mi N Oroville",638,28 May 1912,"skin, study; skull",male,194,101,21.5,14.5,,,,Not recorded,,Testes large,,,,,,,,,MS,1,July,2024,
17939,MVZ:Mamm:17939,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 643,28 May 1912,"skin, study; skull",female,207,111,22.5,16,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
17940,MVZ:Mamm:17940,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 654,29 May 1912,"skin, study; skull",male,204,105,23,15,,,,,,testes large,,,,,,,,,MS,1,July,2024,
17941,MVZ:Mamm:17941,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 655,29 May 1912,"skin, study; skull",female,206,117,22,16,,,,Not recorded,,3 Embryos,,,3,,,,,,MS,1,July,2024,
17942,MVZ:Mamm:17942,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 656,29 May 1912,"skin, study; skull",male,144,45,21,15,,,,Not recorded,,Testes large,,,,,,,,,MS,1,July,2024,
17943,MVZ:Mamm:17943,Peromyscus boylii boylii,Tracy I. Storer,California,Butte County,"Chambers Ravine, 4 mi N Oroville",Tracy I. Storer 666,30 May 1912,"skin, study; skull",female,203,101,21,18,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
17944,MVZ:Mamm:17944,Peromyscus boylii boylii,"Tracy I. Storer, Walter P. Taylor",California,Butte County,"Chambers Ravine, 4 mi N Oroville",667,30 May 1912,"skin, study; skull",male,194,81,21,18,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
17945,MVZ:Mamm:17945,Peromyscus boylii boylii,"Tracy I. Storer, Walter P. Taylor",California,Butte County,"Chambers Ravine, 4 mi N Oroville",668,30 May 1912,"skin, study; skull",male,211,110,23,18,,,,Not recorded,,Not recorded,,,,,,,,,MS,1,July,2024,
