catalognumberint,guid,subspecies,collectors,state_prov,county,spec_locality,collectornumber,verbatim_date,parts,sex,total length,tail length,hind foot with claw,ear,ear from notch,ear from crown,unit,weight,units,reproductive data,testes L,testes W,emb count,embs L,embs R,emb CR,scars,unformatted measurements,"tag checked? (or no tag available), initial here",Day,Month,Year,catalog checked? (or no catalog available),REVIEW NEEDED
5805,,Peromyscus maniculatus catalinae,F. W. Bancroft,California,,"Avalon, Santa Catalina Island, Channel Islands, Santa Catalina Island",F. W. Bancroft 4,10 Aug 1893,"skin, study",male,not recorded,not recorded,not recorded,not recorded,,,,not recorded,,not recorded,,,,,,,,,LW,2,August,2024,,
5806,,Peromyscus maniculatus catalinae,F. W. Bancroft,California,,"Avalon, Santa Catalina Island, Channel Islands, Santa Catalina Island",F. W. Bancroft 5,8 Aug 1893,"skin, study; skull",male,not recorded,not recorded,not recorded,not recorded,,,,not recorded,,not recorded,,,,,,,,,LW,2,August,2024,,
123814,MVZ:Mamm:123814,Reithrodontomys chrysopsis chrysopsis,Elbert M. Brock,Mexico,,"Mt. Popocatepetl, Ixta-Popo National Park, 30 mi SE Mexico Df",Elbert M. Brock 1373,31 Jan 1959,"skeleton; skin, study; skull",male,183,105,20,18,,,,23,g,T=6 mm,6,,,,,,,,LW,29,July,2024,,
91782,MVZ:Mamm:91782,Reithrodontomys chrysopsis chrysopsis,"Seth B. Benson, Margarito Delgadillo",Mexico,,"Ojo de Agua, NW slope Nevado de Toluca",7246,8 May 1940,"skin, study; skull",male,180,102,21,,19,15,,14,g,not recorded,,,,,,,,,LW,29,July,2024,,
91783,MVZ:Mamm:91783,Reithrodontomys chrysopsis chrysopsis,"Seth B. Benson, Margarito Delgadillo",Mexico,,"Ojo de Agua, NW slope Nevado de Toluca",7247,8 May 1940,"skin, study; skull",female,176,96,20,,19,16,,18.2,g,4 emb,,,4,,,,,,LW,29,July,2024,,
91780,MVZ:Mamm:91780,Reithrodontomys chrysopsis chrysopsis,"Seth B. Benson, Margarito Delgadillo",Mexico,,"Timberline, N slope Mt. Popocatepetl",7172,3 May 1940,"skin, study; skull",male,196,111,22,,18,15,,16.4,g,not recorded,,,,,,,,,LW,29,July,2024,,
91781,MVZ:Mamm:91781,Reithrodontomys chrysopsis chrysopsis,"Seth B. Benson, Margarito Delgadillo",Mexico,,"Timberline, N slope Mt. Popocatepetl",7173,3 May 1940,"skin, study; skull",male,176+/-,99+/-,21,,19,15,,14.2,g,not recorded,,,,,,,,,LW,29,July,2024,,
183965,MVZ:Mamm:183965,Reithrodontomys fulvescens aurantius,J. R. Preston,Oklahoma,Payne County,Lake Carl Blackwell,J. R. Preston 35,10 Jan 1954,"skin, study; skull",male,111,46,12,9,,,,not recorded,,not recorded,,,,,,,,,LW,30,July,2024,,
122808,MVZ:Mamm:122808,Reithrodontomys fulvescens aurantius,Keith L. Dixon,Texas,Brazos County,0.5 mi NW College Station Post Office,Keith L. Dixon 1556,25 Nov 1957,"skin, study; skull",female,164,94,20,14,,,,11.4,g,no emb,,,0,,,,,,LW,29,July,2024,,
128348,MVZ:Mamm:128348,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,1 mi S and 0.5 mi E Santa Clara,William Z. Lidicker Jr. 2400,28 Aug 1961,"skin, study; skull",male,170,93,19.5,13.5,,,,13,g,testes 10 mm,10,,,,,,,,LW,29,July,2024,,
76666,MVZ:Mamm:76666,Reithrodontomys fulvescens canus,William B. Richardson,Chihuahua,,"1 mi SW Mangiay, 30 mi S Chihuahua",William B. Richardson 2223,22 May 1937,"skin, study; skull",female,165,96,19,,15,13,,12.1,,no emb,,,0,,,,,,LW,29,July,2024,,
124922,MVZ:Mamm:124922,Reithrodontomys fulvescens canus,David Stephen Taylor (MVZ),Chihuahua,,5 mi N Cerro Campana,David Stephen Taylor (MVZ) 143,5 Jul 1959,"skin, study; skull",male,162,91,21,17,,,,12.9,g,testis 9 mm,9,,,,,,,,LW,29,July,2024,,
124923,MVZ:Mamm:124923,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,5 mi N Cerro Campana,William Z. Lidicker Jr. 1930,3 Jul 1959,"skin, study; skull",male,164,87,19,13.5,,,,12.9,g,"testes 10 mm, desc",10,,,,,,,,LW,29,July,2024,,
124924,MVZ:Mamm:124924,Reithrodontomys fulvescens canus,Ward C. Russell,Chihuahua,,5 mi N Cerro Campana,Ward C. Russell 13544,3 Jul 1959,"skin, study; skull",male,160,85,18,13,,,,18.2,g,testis 9 mm,9,,,,,,,,LW,29,July,2024,,
124925,MVZ:Mamm:124925,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,5 mi N Cerro Campana,William Z. Lidicker Jr. 1892,29 Jun 1959,"skin, study; skull",female,165,88,19,15,,,,13.1,g,2 emb x 9 mm; +1 app. resorb.,,,2,,,9,,,LW,29,July,2024,,
124926,MVZ:Mamm:124926,Reithrodontomys fulvescens canus,Ward C. Russell,Chihuahua,,5 mi N Cerro Campana,Ward C. Russell 13527,1 Jul 1959,"skin, study; skull",female,165,92,18,13,,,,10.2,g,no emb,,,0,,,,,,LW,29,July,2024,,
124927,MVZ:Mamm:124927,Reithrodontomys fulvescens canus,William Z. Lidicker Jr.,Chihuahua,,5 mi N Cerro Campana,William Z. Lidicker Jr. 1990,8 Jul 1959,"skin, study; skull",female,176,91,19,17,,,,14.1,g,"no emb, parous",,,0,,,,,,LW,29,July,2024,,
76664,MVZ:Mamm:76664,Reithrodontomys fulvescens canus,"Seth B. Benson, Margarito Delgadillo",Chihuahua,,5 mi SE Chihuahua,4446,20 May 1937,"skin, study; skull",male,,,,,,,,,,,,,,,,,,,,,,,,
