"index","display","obj_name","category","subcategory","description"
"1","Verbatim Date","verbatim_date","event","basic","Date as provided"
"2","Collecting Method","collecting_method","event","event","Event method"
"3","Collecting Source","collecting_source","event","event","Event source"
"4","Ended Date","ended_date","event","event","Latest date/time at which an event occurred"
"5","Event Attributes","evtAttributeSearchTable","event","event","All event attribute fields"
"6","Habitat","habitat","event","event","Event habitat"
"7","Verbatim Locality","verbatim_locality","event","event","Locality as provided"
"8","Record/Event Remark","specimen_event_remark","event","event","Catalog record event remark"
"9","Began Date","began_date","event","event","Earliest date/time at which an event occurred."
"10","Collecting Event Remarks","coll_event_remarks","event","event","Event remark"
"11","Chronological Extent","chronological_extent","event","event","Count of days between begin and end dates"
"12","Collecting Event Name","collecting_event_name","event","event","Unique (within Arctos) event identifier"
"13","Verification Status","verificationstatus","event","event","Verification status of locality information"
"14","Record/Event Type","specimen_event_type","event","event","Type of event"
"15","Any taxon, ID, common name","taxon_name","identification","basic","Any name used in identifiation or related classification(s) (taxon, common name)"
"16","Identification","identification","identification","basic","Any name used in identifiation (taxon, common name, string values)"
"17","ID Made Date","made_date","identification","curatorial","Identification date"
"18","Tribe","tribe","identification","curatorial","Tribe as provided in collection's preferred Source(s)."
"19","Superfamily","superfamily","identification","curatorial","Superfamily as provided in collection's preferred Source(s)."
"20","Subtribe","subtribe","identification","curatorial","Subtribe as provided in collection's preferred Source(s)."
"21","Subspecies","subspecies","identification","curatorial","Subspecies (as trinomial) or infraspecific term (as quadrinomial) as asserted by the collection's preferred taxonomy."
"22","Subfamily","subfamily","identification","curatorial","Subfamily as provided in collection's preferred Source(s)."
"23","Species","species","identification","curatorial","Species (binomial) as provided in collection's preferred Source(s)."
"24","Phylum","phylum","identification","curatorial","Phylum as provided in collection's preferred Source(s)."
"25","Order","phylorder","identification","curatorial","Order as provided in collection's preferred Source(s)."
"26","Class","phylclass","identification","curatorial","Class as provided in collection's preferred Source(s)."
"27","Kingdom","kingdom","identification","curatorial","Kingdom as provided in collection's preferred Source(s)."
"28","Genus","genus","identification","curatorial","Genus as provided in collection's preferred Source(s)."
"29","Family","family","identification","curatorial","Family as provided in collection's preferred Source(s)."
"30","ID Determiner","identified_agent","identification","identification","Identification determiner (agent)"
"31","Identification Order","identification_order","identification","identification","Identification level of acceptedness"
"32","Identification Attributes","identificationattributesearchtable","identification","identification","Identification details and metadata"
"33","ID Taxa Formula","taxa_formula","identification","identification","Identification formula"
"34","ID Remarks","identification_remarks","identification","identification","Identification remark"
"35","ID Sensu (publication)","identification_publication","identification","identification","""Sensu"" publication title"
"36","Taxonomy","taxonomySearchTable","identification","taxonomy","Taxonomic name in any taxonomy source. Taxonomy used in identifications: Search VALUE OF (and specify an operator), optionally AS RANK, optionally ACCORDING TO SOURCE. "
"37","Collection","guid_prefix","identifier","basic","Collection responsible for the record. Turning this off will break most forms."
