"index","display","obj_name","query_cost","category","description","default_order"
"1","GUID (DarwinCore Triplet)","guid",1,"core","DarwinCore Triplet; primary catalog record identifier",10
"2","Catalog Number Integer","catalognumberint",1,"record","Integer component of catalog number.",20
"3","Identifiers","identifiers",1,"record","All non relationship-forming identifiers and associated metadata.",29
"4","Simple Identifiers","othercatalognumbers",1,"record","Identifier kind=value concatenation",30
"5","Accession","accn_number",1,"record","Accession number",40
"6","Media","media",1,"record","Media include images, digital audio, and various kinds of documentation.  More generally, media are digital files related to specimens, publications, and agents. ",50
"7","Identified As","scientific_name",1,"core","Identification (""scientific name"") as determined by collection. Depending on the determination, most often genus plus species; often genus, species plus subspecies, but often a taxon less precise than genus.",60
"8","ID Determiner","identified_by",1,"record","The agent (generally a person) who made a taxonomic determination, that is, identified a specimen.",70
"9","<i>sensu</i>","id_sensu",1,"record","A publication which defines the parameters used to make the identification. ""This specimen is Taxon X in the sense of Publication Y.""",80
"10","determination date","id_date",1,"record","The date on which the person making the taxonomic determination applied it to the specimen.",90
"11","scientific name with author","sci_name_with_auth",1,"record","Taxonomic name followed by the name(s) of the person who originally published the name. Various specific conventions are dictated by nomenclatural commissions.<br>",100
"12","Identifications","id_history",1,"curatorial","All Identifications including metadata",110
"13","ID Remarks","identification_remarks",1,"record","Any further description of a taxonomic determination, its basis, nature or circumstances.",120
"14","Determined Date","made_date",1,"record","Date on which the determination was made. Format is a single day.",140
"15","keep/remove row","remove_row",50,"curatorial","Keep/Remove rows; Turn this on to keep/remove rows from results. USAGE: Click the button on any number of rows, then requery or select Tools-->Keep/Remove Selected Rows.",145
"16","Kingdom","kingdom",1,"record","Kingdom as provided in collection's preferred Source(s).",150
"17","Phylum","phylum",1,"classification","Phylum as provided in collection's preferred Source(s).",160
"18","Class","phylclass",1,"classification","Class as provided in collection's preferred Source(s).",170
"19","Superorder","superorder",1,"classification","Taxonomic SuperOrder as asserted by the collection's preferred taxonomy.",179
"20","Order","phylorder",1,"classification","Order as provided in collection's preferred Source(s).",180
"21","Suborder","suborder",1,"classification","Taxonomic Order as asserted by the collection's preferred taxonomy.",185
"22","Superfamily","superfamily",1,"classification","Superfamily as provided in collection's preferred Source(s).",190
"23","Family","family",1,"classification","Family as provided in collection's preferred Source(s).",200
"24","Subfamily","subfamily",1,"classification","Subfamily as provided in collection's preferred Source(s).",210
"25","Tribe","tribe",1,"classification","Tribe as provided in collection's preferred Source(s).",220
"26","Subtribe","subtribe",1,"classification","Subtribe as provided in collection's preferred Source(s).",230
"27","Genus","genus",1,"classification","Genus as provided in collection's preferred Source(s).",240
"28","Species","species",1,"classification","Species (binomial) as provided in collection's preferred Source(s).",250
"29","Subspecies","subspecies",1,"classification","Subspecies (as trinomial) or infraspecific term (as quadrinomial) as asserted by the collection's preferred taxonomy.",260
"30","citations","citations",1,"curatorial","Citations are links between cataloged items and publications. Citations indicate that a cataloged item was referred to (cited) by the authors of a publication.",270
"31","related items","relatedcatalogeditems",1,"record","Two cataloged items (usually biological individuals) may be associated with each other by kinship or some trophic relationship.",280
"32","collectors","collectors",1,"record","collector role ""collector""",290
"33","preparators","preparators",1,"record","collector role ""preparator""",300
"34","Creator","creator",1,"record","collector role ""creator""",310
"35","Subject","subject",1,"record","collector role ""subject""",312
"36","Copyright Holder","copyright_holder",1,"record","collector role ""copyright holder""",314
"37","Record/Event Type","specimen_event_type",1,"locality","Type of event",320
"38","event agent","event_assigned_by_agent",1,"locality","Agent asserting the relationship between the specimen and the place-time data.",330
"39","Collecting Source","collecting_source",1,"record","Event source",350
"40","Record/Event Remark","specimen_event_remark",1,"locality","Catalog record event remark",360
"41","Asserted Continent/Ocean","continent_ocean",1,"locality","Continent or ocean as asserted",370
"42","Asserted Sea","sea",1,"locality","Sea as asserted",380
"43","Asserted Country","country",1,"core","Country as asserted by the collection",390
"44","Asserted State/Province","state_prov",1,"core","State or province as asserted",400
"45","Asserted County","county",1,"locality","County as asserted by the collection",430
"46","Minimum Elevation (m)","min_elev_in_m",1,"locality","Minimum elevation for a locality converted to meters",460
"47","Maximum Elevation (m)","max_elev_in_m",1,"locality","Maximum elevation for a locality converted to meters",470
"48","Minimum Elevation","minimum_elevation",1,"locality","Minimum elevation of a locality.",480
"49","Maximum Elevation","maximum_elevation",1,"locality","Maximum elevation of a locality.",490
"50","Elevation Units","orig_elev_units",1,"locality","The units of measurement used in the original reporting of an elevation.",500
"51","Specific Locality","spec_locality",1,"core","Locality as asserted",530
"52","Locality Remark","locality_remarks",1,"locality","Locality remark",540
"53","Verbatim Locality","verbatim_locality",1,"locality","Locality as provided",550
"54","Habitat","habitat",1,"record","Event habitat",560
"55","Locality Name","locality_name",1,"locality","Assigned unique persistent locality identifier.",570
"56","Collecting Method","collecting_method",1,"record","Event method",580
"57","Verbatim Date","verbatim_date",1,"core","Date as provided",590
"58","Began Date","began_date",1,"locality","Earliest date/time at which an event occurred.",600
"59","Ended Date","ended_date",1,"locality","Latest date/time at which an event occurred",610
"60","year collected","year_collected",1,"locality","The year in which the specimen was collected. ",640
"61","month collected","month_collected",1,"locality","The month in which the specimen was collected.",641
"62","day collected","day_collected",1,"locality","The day in which the specimen was collected.",642
"63","Part Names","parts",1,"record","Part names",650
"64","JSON Parts","partdetail",1,"record","All part fields formatted as JSON",660
"65","Catalog Record Remark","remark",1,"record","Catalog record remark",680
"66","Collecting Event ID","collecting_event_id",1,"curatorial","Event identifier issued by Arctos",690
"67","verbatim coordinates","verbatim_coordinates",1,"locality","The geographic coordinates in the format in which they were reported by the collector. (Often absent.)",700
"68","Coordinate Type","orig_lat_long_units",1,"locality","The units used in the original report of geographic coordinates. For example, degrees/minutes/seconds, degrees/minutes/decimal-minutes, decimal degrees, or the UTM system.",710
"69","Decimal Latitude","dec_lat",1,"core","Geographic latitude expressed as degrees with decimal fractions of degrees.",720
